"Name","Id","StartTime","Path","Company","Description","FileVersion","ProductVersion","CPU","WorkingSet","VirtualMemorySize"
"RuntimeBroker","6592","07-08-2025 15:11:50","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","Runtime Broker","10.0.26100.3624 (WinBuild.160101.0800)","10.0.26100.3624","0.15625","1601536","120066048"
"RuntimeBroker","6748","07-08-2025 15:11:12","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","Runtime Broker","10.0.26100.3624 (WinBuild.160101.0800)","10.0.26100.3624","2.171875","6733824","274341888"
"RuntimeBroker","7268","07-08-2025 15:11:12","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","Runtime Broker","10.0.26100.3624 (WinBuild.160101.0800)","10.0.26100.3624","1.46875","5013504","200318976"
"RuntimeBroker","9568","07-08-2025 15:52:24","C:\Windows\System32\RuntimeBroker.exe","Microsoft Corporation","Runtime Broker","10.0.26100.3624 (WinBuild.160101.0800)","10.0.26100.3624","0.15625","1069056","145100800"
"SearchHost","6260","07-08-2025 15:11:11","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","Microsoft Corporation","","2125.14803.30.0","2125.14803.30.0","5.625","20492288","569843712"
"SearchIndexer","1148","07-08-2025 14:58:40","C:\WINDOWS\system32\SearchIndexer.exe","Microsoft Corporation","Microsoft Windows Search Indexer","7.0.26100.4202 (WinBuild.160101.0800)","7.0.26100.4202","3.6875","16924672","153473024"
"SecurityHealthService","9780","07-08-2025 15:11:29",,,,,,"3","12677120","191094784"
"SecurityHealthSystray","9760","07-08-2025 15:11:29","C:\Windows\System32\SecurityHealthSystray.exe","Microsoft Corporation","Windows Security notification icon","10.0.26100.1882 (WinBuild.160101.0800)","10.0.26100.1882","0.15625","3080192","123617280"
"SenseIR","9096","07-08-2025 18:24:46",,,,,,"0.21875","9875456","133263360"
"SenseNdr","4368","07-08-2025 14:56:54","C:\Program Files\Windows Defender Advanced Threat Protection\SenseNdr.exe","Microsoft","Windows Defender Advanced Threat Protection - Sense NDR module","4.0.0.12","4.0.0.12","26.703125","29188096","189190144"
"SenseTVM","3960","07-08-2025 14:56:54","C:\Program Files\Windows Defender Advanced Threat Protection\SenseTVM.exe","","Windows Defender Advanced Threat Protection Sense TVM module","1.3.1-0","1.3.1-0","0.21875","1884160","132481024"
"services","876","07-08-2025 14:56:19",,,,,,"11.09375","6705152","82358272"
"ShellExperienceHost","8340","07-08-2025 15:52:23","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","Microsoft Corporation","Windows Shell Experience Host","10.0.26100.4202 (WinBuild.160101.0800)","10.0.26100.4202","0.6875","548864","377815040"
"ShellHost","564","07-08-2025 15:11:09","C:\Windows\System32\ShellHost.exe","Microsoft Corporation","ShellHost","10.0.26100.4484 (WinBuild.160101.0800)","10.0.26100.4484","0.40625","4849664","253845504"
"sihost","2132","07-08-2025 15:11:08","C:\WINDOWS\system32\sihost.exe","Microsoft Corporation","Shell Infrastructure Host","10.0.26100.1882 (WinBuild.160101.0800)","10.0.26100.1882","7.21875","18792448","235331584"
"smartscreen","7384","07-08-2025 18:26:38","C:\Windows\System32\smartscreen.exe","Microsoft Corporation","Windows Defender SmartScreen","10.0.26100.4202 (WinBuild.160101.0800)","10.0.26100.4202","0.0625","13070336","134225920"
"smss","460","07-08-2025 14:56:17",,,,,,"0.21875","24576","57864192"
"spoolsv","2672","07-08-2025 14:56:21","C:\WINDOWS\System32\spoolsv.exe","Microsoft Corporation","Spooler SubSystem App","10.0.26100.1 (WinBuild.160101.0800)","10.0.26100.1","2.890625","3395584","142417920"
"sppsvc","7720","07-08-2025 18:35:49",,,,,,"0.28125","19992576","103665664"
"StartMenuExperienceHost","6384","07-08-2025 15:11:11","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","Microsoft Corporation","Windows Start Experience Host","10.0.26100.4484 (WinBuild.160101.0800)","10.0.26100.4484","3.8125","20811776","-574578688"
"svchost","540","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","13.796875","20590592","179732480"
"svchost","868","07-08-2025 14:56:20","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","18.390625","12648448","111452160"
"svchost","1236","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","41.078125","68673536","291602432"
"svchost","1260","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","12.1875","14618624","276205568"
"svchost","1308","07-08-2025 14:56:20","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","Host Process for Windows Services","10.0.26100.2308 (WinBuild.160101.0800)","10.0.26100.2308","100.390625","18538496","205991936"
