"HostName","TaskName","Next Run Time","Status","Logon Mode","Last Run Time","Last Result","Author","Task To Run","Start In","Comment","Scheduled Task State","Idle Time","Power Management","Run As User","Delete Task If Not Rescheduled","Stop Task If Runs X Hours and X Mins","Schedule","Schedule Type","Start Time","Start Date","End Date","Days","Months","Repeat: Every","Repeat: Until: Time","Repeat: Until: Duration","Repeat: Stop If Still Running"
"AVIRUP-1","\Microsoft\Windows\AppID\EDP Policy Manager","N/A","Ready","Interactive/Background","30-11-1999 00:00:00","267011","Microsoft Corporation","COM handler","N/A","This task performs steps necessary to configure Windows Information Protection.","Enabled","Disabled","","LOCAL SERVICE","Disabled","Disabled","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\AppID\PolicyConverter","N/A","Ready","Interactive/Background","03-07-2025 17:16:22","0","Microsoft Corporation","%windir%\system32\appidpolicyconverter.exe ","N/A","Converts the software restriction policies policy from XML into binary format.","Enabled","Disabled","","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck","N/A","Ready","Interactive/Background","07-08-2025 18:24:56","-2147020576","Microsoft Corporation","%windir%\system32\appidcertstorecheck.exe ","N/A","Inspects the AppID certificate cache for invalid or revoked certificates.","Enabled","Only Start If Idle for 3 minutes, If Not Idle Retry For 1380 minutes Stop the task if Idle State end","Stop On Battery Mode, No Start On Batteries","LOCAL SERVICE","Disabled","72:00:00","Scheduling data is not available in this format.","At system start up","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\Application Experience\MareBackup","N/A","Ready","Interactive/Background","30-11-1999 00:00:00","267011","Microsoft Corporation","Multiple actions","Multiple actions","Gathers Win32 application data for App Backup scenario","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","SYSTEM","Disabled","72:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser","07-08-2025 22:06:36","Ready","Interactive/Background","07-08-2025 15:45:48","0","Microsoft Corporation","%windir%\system32\sc.exe start InventorySvc","N/A","Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.","Enabled","Disabled","","SYSTEM","Disabled","96:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","03:00:00","01-09-2008","N/A","N/A","N/A","6 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\Microsoft\Windows\Application Experience\Microsoft Compatibility Appraiser Exp","N/A","Ready","Interactive/Background","30-11-1999 00:00:00","267011","Microsoft Corporation","%windir%\system32\compattelrunner.exe -m:appraiser.dll -f:DoScheduledTelemetryRun express","N/A","Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.","Enabled","Disabled","","SYSTEM","Disabled","00:05:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\Application Experience\PcaPatchDbTask","08-08-2025 04:00:05","Ready","Interactive/Background","07-08-2025 15:40:10","0","Microsoft Corporation","%windir%\system32\rundll32.exe %windir%\system32\PcaSvc.dll,PcaPatchSdbTask","N/A","Updates compatibility database","Enabled","Disabled","","SYSTEM","Disabled","24:00:00","Scheduling data is not available in this format.","One Time Only, Hourly ","03:00:00","01-09-2008","N/A","N/A","N/A","12 Hour(s), 0 Minute(s)","None","Disabled","Disabled"
"AVIRUP-1","\Microsoft\Windows\Application Experience\SdbinstMergeDbTask","N/A","Ready","Interactive/Background","30-11-1999 00:00:00","267011","Microsoft Corporation","%windir%\system32\sdbinst.exe -mm","N/A","Merges shim databases that are pending merge.","Enabled","Disabled","","SYSTEM","Disabled","00:10:00","Scheduling data is not available in this format.","Undefined","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\Application Experience\StartupAppTask","N/A","Ready","Interactive/Background","05-08-2025 22:23:09","0","Microsoft Corporation","%windir%\system32\rundll32.exe Startupscan.dll,SusRunTask","N/A","Scans startup entries and raises notification to the user if there are too many startup entries.","Enabled","Disabled","Stop On Battery Mode, No Start On Batteries","INTERACTIVE","Disabled","72:00:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"AVIRUP-1","\Microsoft\Windows\ApplicationData\appuriverifierdaily","N/A","Ready","Interactive/Background","06-08-2025 21:56:08","0","Microsoft Corporation","%windir%\system32\AppHostRegistrationVerifier.exe ","N/A","Verifies AppUriHandler host registrations.","Enabled","Disabled","","INTERACTIVE","Disabled","00:15:00","Scheduling data is not available in this format.","On demand only","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
